Time	L.Trunk			R.Trunk			DistalTrunk			R.UpperArm			R.Elbow			R.Wrist			L.UpperArm			L.Elbow			L.Wrist			R.Crest			R.ASIS			Sacrum			OFFSET			L.ASIS			L.Crest			R.Hip			R.Thigh			R.Knee			R.TibTubercle			R.MidShank			R.DistalShank			R.Heel			R.DistalHeel			R.PosteriorFoot			R.LateralToe			R.Toe			R.MedialToe			L.Hip			L.Thigh			L.Knee			L.TibTubercle			L.MidShank			L.DistalShank			L.Heel			L.DistalHeel			L.PosteriorFoot			L.LateralToe			L.Toe			L.MedialToe			R.Shoulder			C7			Sternum			L.Shoulder			R.MedialKnee			R.Ankle			R.MedialAnkle			R.LateralFoot			R.MedialFoot			L.MedialKnee			L.Ankle			L.MedialAnkle			L.LateralFoot			L.MedialFoot			V_MidAsis			V_RHipDynamic			V_LHipDynamic			V_MidHip			V_Pelvis_Origin		
s	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
4.815	551.482	-49.4675	1225.01	667.245	-72.0822	1216.43	619.176	-156.504	1196.19	824.838	-33.4498	971.868	865.627	-125.693	848.14	765.133	-123.312	605.572	340.985	28.3113	1005.33	277.866	-27.2525	865.063	383.187	-32.8037	624.205	724.322	-307.164	1015.56	0	0	0	568.132	-460.709	1063.97	493.025	-460.165	1057.82	0	0	0	416.691	-303.362	1035.34	753.761	-371.739	839.818	736.752	-243.949	612.798	743.093	-296.461	508.105	719.482	-226.155	441.659	779.892	-334.709	381.811	736.971	-283.59	275.478	732.667	-447.528	108.618	749.277	-457.063	71.2953	792.813	-425.134	87.2516	840.792	-217.852	102.936	810.92	-198.734	111.793	777.273	-210.718	106.512	374.292	-384.157	898.026	418.357	-257.629	608.444	400.112	-281.041	493.209	444.013	-239.665	438.509	370.452	-314.395	338.431	439.691	-284.041	277.405	413.253	-427.256	104.279	384.961	-428.229	72.2504	355.916	-389.029	98.2125	334.36	-189.493	111.815	370.411	-171.755	122.123	400.392	-180.84	115.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.82	551.745	-48.3171	1224.67	667.507	-70.7932	1215.77	619.595	-155.217	1195.7	824.939	-29.9087	970.576	866.012	-121.116	845.861	767.831	-114.395	602.33	340.475	30.8606	1005.4	276.643	-21.7269	864.551	381.849	-22.0264	623.477	724.495	-305.327	1015.01	0	0	0	568.668	-458.961	1064.11	493.394	-459.212	1058.28	0	0	0	417.399	-301.209	1034.81	753.719	-371.476	839.79	736.732	-242.967	612.262	742.794	-295.818	508.075	719.378	-225.579	441.377	779.754	-334.367	381.848	736.963	-283.426	275.337	732.685	-447.546	108.575	749.217	-457.148	71.2845	792.763	-425.289	87.2012	841.173	-218.115	102.921	811.304	-198.993	111.728	777.621	-211.151	106.559	374.593	-383.278	898.128	418.901	-257.107	608.211	400.436	-280.95	493.158	443.978	-239.533	438.311	370.496	-314.43	338.443	439.674	-284.051	277.317	413.259	-427.362	104.223	384.996	-428.274	72.1761	355.888	-389.105	98.193	334.262	-189.583	111.849	370.283	-171.876	122.151	400.298	-180.918	115.928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.825	552.184	-47.3115	1224.14	667.637	-69.4353	1215.06	619.954	-153.936	1195.23	824.994	-26.8331	969.42	866.412	-116.193	843.561	770.705	-105.021	599.123	339.814	33.5642	1005.51	275.402	-16.103	864.078	380.5	-11.0365	622.9	724.809	-303.541	1014.49	0	0	0	569.131	-457.408	1064.29	493.8	-457.652	1058.52	0	0	0	417.692	-300.258	1034.69	753.978	-369.95	839.637	736.625	-241.902	611.697	742.431	-295.043	507.963	719.183	-225.066	441.03	779.633	-334.306	382.34	736.941	-283.239	275.158	732.558	-447.555	108.569	749.154	-457.229	71.2154	792.793	-425.473	87.2011	841.471	-218.332	102.883	811.68	-199.226	111.648	777.808	-211.184	106.5	374.926	-382.297	898.25	418.758	-256.795	608.119	400.574	-280.71	493.032	444.131	-239.473	438.302	370.523	-314.383	338.412	439.693	-283.995	277.218	413.209	-427.388	104.178	385.011	-428.292	72.1459	355.84	-389.179	98.1387	334.081	-189.7	111.838	370.216	-171.938	122.171	400.179	-180.982	115.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.83	552.126	-46.0596	1223.96	667.854	-68.1022	1214.65	620.34	-152.619	1194.79	825.271	-23.4675	968.347	866.919	-111.074	841.385	773.717	-94.9624	596.077	339.177	36.0559	1005.7	274.197	-10.2999	863.662	378.979	0.273759	622.507	725.059	-301.78	1013.98	0	0	0	569.643	-455.524	1064.21	494.41	-456.116	1058.53	0	0	0	417.825	-299.111	1034.47	754.241	-368.431	839.285	736.615	-240.705	611.162	741.951	-294.051	507.807	718.984	-224.53	440.469	779.128	-333.624	381.925	736.905	-282.9	274.911	732.517	-447.595	108.547	749.079	-457.306	71.2334	792.716	-425.675	87.1925	841.666	-218.465	102.867	811.948	-199.297	111.577	778.207	-211.382	106.361	375.284	-381.314	898.248	419.208	-256.142	607.878	400.719	-280.382	492.98	444.213	-239.195	438.116	370.263	-314.441	338.485	439.779	-283.961	277.088	413.217	-427.434	104.131	385.105	-428.347	72.0345	355.826	-389.25	98.0897	333.949	-189.795	111.782	369.966	-172.07	122.116	399.985	-181.064	115.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.835	552.325	-44.9618	1223.46	667.857	-66.8622	1213.99	620.635	-151.317	1194.37	825.618	-19.8117	967.43	867.457	-105.574	839.147	776.814	-84.4328	593.072	338.592	38.7217	1005.93	272.947	-4.41744	863.311	377.376	11.8551	622.247	725.32	-299.925	1013.34	0	0	0	570.184	-454	1064.21	494.914	-454.487	1058.48	0	0	0	418.091	-297.924	1034.02	754.402	-366.781	838.853	736.208	-239.205	610.497	741.576	-292.906	507.642	718.896	-223.742	439.87	778.794	-333.105	382.024	736.762	-282.575	274.683	732.439	-447.627	108.539	749.01	-457.342	71.1988	792.707	-425.721	87.1592	841.922	-218.526	102.726	812.217	-199.399	111.396	778.276	-211.345	106.204	375.645	-380.24	898.116	419.273	-255.447	607.631	400.877	-279.901	492.859	444.127	-239.089	438.064	370.247	-314.231	338.454	439.766	-283.804	276.964	413.183	-427.484	104.098	385.089	-428.414	71.9923	355.824	-389.335	98.0117	333.733	-189.945	111.754	369.73	-172.192	122.097	399.806	-181.113	115.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.84	552.394	-43.9112	1223.27	668.215	-65.4081	1213.49	621.003	-150.004	1193.96	825.769	-16.1341	966.625	868.08	-99.9215	836.969	779.974	-73.5531	590.274	338.074	41.5171	1006.17	271.905	1.64712	863.081	375.635	23.7314	622.231	725.661	-298.134	1012.74	0	0	0	570.579	-452.622	1064.13	495.686	-452.597	1058.19	0	0	0	418.325	-296.667	1033.54	754.615	-365.087	838.22	735.769	-237.595	609.827	741.015	-291.589	507.42	718.361	-222.518	439.469	778.536	-332.692	382.432	736.619	-282.163	274.461	732.39	-447.587	108.601	748.971	-457.368	71.2166	792.669	-425.775	87.1698	842.061	-218.646	102.569	812.328	-199.466	111.224	778.427	-211.329	106.045	376.024	-379.082	897.927	419.58	-254.393	607.341	401.036	-279.231	492.726	444.205	-238.441	437.723	370.247	-313.967	338.39	439.76	-282.987	276.955	413.211	-427.554	104.08	385.112	-428.451	71.9168	355.83	-389.373	97.9048	333.545	-190.045	111.651	369.471	-172.253	122.029	399.563	-181.168	115.712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.845	552.754	-42.9078	1222.73	668.327	-64.0265	1212.94	621.316	-148.716	1193.47	826.249	-12.0547	965.816	868.832	-93.8915	834.921	783.31	-62.1238	587.659	337.632	44.4077	1006.44	270.788	7.7415	863.059	373.716	35.9369	622.358	726.015	-296.216	1012.09	0	0	0	571.431	-450.663	1063.74	495.964	-451.489	1058.4	0	0	0	418.687	-295.41	1033.12	755.064	-363.336	837.702	735.38	-235.86	609.217	740.478	-289.978	507.075	717.697	-221.365	438.854	778.353	-331.588	382.295	736.397	-281.706	274.118	732.291	-447.558	108.609	748.896	-457.374	71.238	792.664	-425.883	87.2281	842.158	-218.695	102.427	812.352	-199.463	110.994	778.611	-211.078	105.669	376.456	-377.94	897.735	419.854	-253.282	607.145	401.218	-278.412	492.605	444.362	-237.466	437.292	370.575	-313.182	338.138	439.689	-282.725	276.764	413.156	-427.566	104.076	385.109	-428.535	71.9385	355.687	-389.511	97.8774	333.2	-190.171	111.588	369.173	-172.355	121.951	399.315	-181.003	115.584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.85	552.591	-41.7529	1222.57	668.575	-62.7059	1212.52	621.679	-147.468	1192.92	826.443	-8.40984	965.195	869.515	-87.6178	832.918	786.864	-50.1725	585.449	337.216	47.2731	1006.78	269.539	13.9122	863.183	371.641	48.2941	622.724	726.455	-294.492	1011.48	0	0	0	572.109	-448.955	1063.41	496.879	-449.37	1057.76	0	0	0	419.015	-294.18	1032.75	755.268	-361.536	836.901	734.759	-233.973	608.649	739.927	-288.218	506.757	717.072	-220.106	438.041	777.825	-330.465	382.131	736.059	-280.987	273.843	732.147	-447.562	108.602	748.789	-457.374	71.292	792.581	-425.869	87.2577	842.188	-218.747	102.191	812.483	-199.488	110.693	778.699	-211.021	105.316	376.872	-376.718	897.456	420.192	-251.824	606.858	401.537	-277.399	492.412	444.453	-236.637	436.697	370.648	-312.704	338.063	439.641	-282.36	276.507	413.153	-427.59	104.05	385.204	-428.575	71.9343	355.69	-389.621	97.8436	332.85	-190.299	111.469	368.825	-172.421	121.861	398.944	-181.076	115.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.855	552.711	-40.6981	1221.99	668.64	-61.1999	1212.02	621.913	-146.238	1192.39	826.892	-4.1603	964.651	870.668	-81.0636	831.182	790.422	-37.7924	583.32	336.917	50.3688	1007.19	268.453	20.1978	863.368	369.367	60.929	623.311	726.876	-292.774	1010.77	0	0	0	572.816	-447.386	1062.88	497.333	-448.239	1057.55	0	0	0	419.432	-292.886	1032.3	755.903	-359.418	836.43	734.09	-231.91	608.003	739.259	-286.297	506.366	716.471	-218.504	437.416	777.051	-329.006	381.479	735.441	-280.166	273.305	732.066	-447.43	108.625	748.739	-457.393	71.3887	792.419	-425.86	87.3186	842.191	-218.741	101.917	812.534	-199.437	110.34	778.654	-211.126	105.053	377.228	-375.463	897.054	420.481	-250.393	606.562	401.735	-276.246	492.209	444.612	-235.596	436.457	370.692	-312.102	337.96	439.608	-281.889	276.218	413.145	-427.585	104.075	385.13	-428.659	71.8945	355.576	-389.701	97.8418	332.44	-190.394	111.355	368.389	-172.444	121.655	398.512	-181.118	115.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.86	552.7	-39.6789	1221.85	668.778	-60.0206	1211.58	622.157	-145	1191.83	827.075	-0.00495658	964.253	871.574	-74.2923	829.344	794.031	-24.991	581.602	336.41	53.4937	1007.68	267.257	26.4867	863.757	366.862	73.8683	624.302	727.38	-290.936	1010.04	0	0	0	573.585	-445.596	1062.26	498.043	-446.587	1057.01	0	0	0	419.696	-291.683	1031.78	755.834	-357.846	835.14	733.328	-229.499	607.186	738.876	-284.139	505.899	715.483	-216.904	436.477	776.45	-327.469	381.226	735.25	-279.339	272.743	731.956	-447.291	108.691	748.632	-457.351	71.4853	792.437	-425.829	87.4094	842.232	-218.665	101.531	812.676	-199.224	110.049	778.63	-211.033	104.564	377.721	-374.218	896.574	420.919	-248.575	606.201	402.001	-274.921	491.985	444.652	-234.399	436.006	370.815	-311.326	337.827	439.606	-281.312	275.828	413.187	-427.574	104.091	385.166	-428.665	71.9011	355.593	-389.758	97.7923	332.037	-190.517	111.168	367.882	-172.432	121.518	398.149	-181.097	115.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
